contexto_id,plataforma,n_mensajes_utiles,n_lemas,lemas
Facebook|https://www.facebook.com/TampicoGob/posts/pfbid031CmtrEjDgVJed3981uWdC87QePGGkUXPnwKdfs4VZUgW5TtkLHJUp8R8psUeioocl,Facebook,2,2,tampicotecuida padrisiimo
Facebook|https://www.facebook.com/monicavtampico/posts/pfbid022BTPzeLQwSvAbRUTwUVnes3ipQ84NJ2TsmSCFG5PwhE3vzucLZDgBeZjU8ZEy47Ul,Facebook,3,51,visitar espacio conectar riqueza ambiental tampico invitar casa naturaleza explicacion biologo jorge sosa alejandre clave avistamiento identificacion ave experiencia permitir valorar biodiversidad ciudad invitar ruta observacion aves casa naturaleza disfrutar espacio responsable consultar informacion pagina turismo tampico tampicovacontodo tampicotecuida excelente visitar bello espacio gente aprender disfrutar convivir conectar entorno natural tampicohermoso
Facebook|https://www.facebook.com/ProteccionCivilTampico/posts/pfbid02c8yyfoeBcZzCWjWfpnRfyMUw2Cfeq6LaAa7MUQLXtqe3HwPznHXzLFLAHtY7DjVl,Facebook,2,54,operativo fiestas abril tampico continuar laborar operativo fiestas abril tampico seguir indicacion monica villarreal anaya presidenta municipal tampico verificacion cabo direccion proteccion civil bomberos tampico cargo jose antonio marin flores asegurar asistente disfrutar ambiente seguro protegido semana santa fiestas abril tampico esperado seguridad cuida proteccion civil proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico revision fisico bitacora fundamental
Twitter|https://x.com/dect1608/status/2039428367120789631,Twitter,1,1,tsss
Twitter|https://x.com/tuespacio_1/status/2039436758627324024,Twitter,1,9,vivir humilde calle colonia mandar manita gato vecina madre
Facebook|https://www.facebook.com/secretariadeculturatampico/posts/pfbid0UWYQf1LHbnFLgXbT9oqm8JadMrnQCespz51xvtLLd5PHbgT9BTgPJh2wnXjMoJ4ol,Facebook,3,129,actividad mes abril vien turista cierra dia nino bonito quedar agenda agenda cultural abril gobierno municipal tampico encabezado presidenta zacil villarreal anaya cultura presentar agenda cultural mes abril programacion fortalecer convivencia disfrute arte distinto espacio ciudad abril llenar color tradicional fiestas abril presentacion artistico recinto ferial conmemoracion aniversario fundacion tampico celebrar historia identidad ciudad musica tradicion tomar protagonismo festival del huapango cabo emblematico ciudad bailes populares domingo llenar ritmo plaza hijas tampico casa cultura albergar exposicion individual puella magi propuesta abrir ventana emocion figura magic girls marco internacional danza distinto espacio ciudad llenar movimiento expresion celebrar arte cuerpo escena bibliotecas municipales celebrar internacional del libro lectura voz alto cargo recoveco cultural inauguracion bibliotrueque espacio intercambio libro fomentar habito lectura cultura paz musica danza llegar distinto rincon ciudad por paz
YouTube|https://www.youtube.com/watch?v=659dzXzkkKo,YouTube,2,7,tampico hermoso vibras plaza tampico conservar belleza
Twitter|https://x.com/AlcaldesMexico/status/2039528242328359094,Twitter,1,17,ordenar oferta turistico ruta tematico ampliar derrama economico semana santa explicar estrategia permitir presentar tampico distinto angulo
Twitter|https://x.com/Jaume_Osante/status/2039539188282868141,Twitter,1,11,tampico reforzar alumbrado publico luminaria mejora seguridad vial tampico revistadebate nota
Twitter|https://x.com/VoxPopuliNoti/status/2039539584749404649,Twitter,1,18,fortalece gobierno tampico sistema alumbrado publico diverso sector gobierno municipal continuar modernizacion luminaria mejoramiento infraestructura urbano tampico tamaulipas
Twitter|https://x.com/elgraficotamps/status/2039540766796570752,Twitter,1,8,fortalece gobierno tampico sistema alumbrado publico diverso sector
Twitter|https://x.com/HOYTamaulipas/status/2039542435890536883,Twitter,1,10,tamaulipas fortalece gobierno tampico sistema alumbrado publico diverso sector enteratir
Twitter|https://x.com/gruponoticiaspc/status/2039542791617786319,Twitter,1,19,fortalece gobierno tampico sistema alumbrado publico diverso sector gobierno municipal tampico secretaria servicios publicos continuar implementar accion estrategico leer
Twitter|https://x.com/pucca_cn/status/2039544757861384695,Twitter,3,29,exigir destitucion inmediato presidencia municipal monica villarreal entro funcion absolutamente vida lujoso familia urgir urgar destitucion inmediato solucionar servir destituir agente transito servir urgir intervencion urge auditoria gobernador hermana
