id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T07_S01,7,1,#7f7f7f,11,39,0.709,213.0,"Bienestar, vida, atencion, unidad"
T07_S02,7,2,#7f7f7f,12,30,0.455,203.0,"Leer, nota, completo, click"
T07_S03,7,3,#7f7f7f,13,32,0.41,181.0,"Tampico, local, exito, unir"
T07_S04,7,4,#7f7f7f,6,15,1.0,73.0,"Jornada, victoria, inaugurar, guadalupe"
T07_S05,7,5,#7f7f7f,6,9,0.6,29.0,"Via, vocacion, porcentaje, diaz"
T07_S06,7,6,#7f7f7f,5,7,0.7,20.0,"Terreno, refineria, clandestino, piso"
T08_S00,8,0,#bcbd22,9,27,0.75,80.0,"Americo, principal, beneficio, puesto"
T08_S01,8,1,#bcbd22,6,14,0.933,66.0,"Creer, corrupto, criminal, dificil"
T08_S02,8,2,#bcbd22,7,16,0.762,40.0,"Pensar, servir, amlo, serio"
T08_S03,8,3,#bcbd22,6,14,0.933,37.0,"Santo, tradicion, acompanado, religioso"
T08_S04,8,4,#bcbd22,8,18,0.643,35.0,"Operar, crimen, ejercito, bastar"
T08_S05,8,5,#bcbd22,6,12,0.8,34.0,"Jesus, mora, jueza, justiciaparadafne"
T08_S06,8,6,#bcbd22,5,8,0.8,20.0,"Grande, tecnico, pinche, afectar"
T08_S07,8,7,#bcbd22,6,10,0.667,19.0,"Necesitar, leon, cuantos, electrico"
T08_S08,8,8,#bcbd22,4,5,0.833,11.0,"Sacar, vista, pescador, silencio"
T08_S09,8,9,#bcbd22,5,6,0.6,8.0,"Ojo, belleza, argumento, pretender"
T09_S00,9,0,#17becf,20,115,0.605,351.0,"Persona, ocurrir, vehiculo, accidente"
T09_S01,9,1,#17becf,5,9,0.9,178.0,"Justicia, gobernador, exigir, abuela"
T09_S02,9,2,#17becf,7,16,0.762,102.0,"Quintos, zapata, alejandra, estrellita"
T09_S03,9,3,#17becf,10,29,0.644,65.0,"Lograr, registrar, ubicado, evitar"
T09_S04,9,4,#17becf,7,16,0.762,56.0,"Menor, perder, jueves, exigencia"
T09_S05,9,5,#17becf,6,13,0.867,51.0,"Pesca, coordinador, infantil, competencia"
T09_S06,9,6,#17becf,4,5,0.833,44.0,"Familia, marina, confianza, controlar"
