id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T36_S08,36,8,"Comunista, robado, juicio, juzgar","Subtema T36.S08 centrado en comunista, robado, juicio, juzgar, falto, terrible; conecta tambien posiblemente, gubernamental, sospechoso, media, inegi.","comunista, robado, juicio, juzgar, falto, terrible, posiblemente, gubernamental, sospechoso, media, inegi",11,30,0.545,62.0
T36_S09,36,9,"Ala, obvio, metar, vean","Subtema T36.S09 centrado en ala, obvio, metar, vean, manos.","ala, obvio, metar, vean, manos",5,10,1.0,57.0
T36_S10,36,10,"Anos, todavia, esconder, barrio","Subtema T36.S10 centrado en anos, todavia, esconder, barrio, patio, terremoto; conecta tambien echeverria, chocar, tapatio.","anos, todavia, esconder, barrio, patio, terremoto, echeverria, chocar, tapatio",9,26,0.722,49.0
T36_S11,36,11,"Quot, ahorita, quejar, yar","Subtema T36.S11 centrado en quot, ahorita, quejar, yar, hipocresia.","quot, ahorita, quejar, yar, hipocresia",5,9,0.9,43.0
T36_S12,36,12,"Pregunta, plazo, oriente, constar","Subtema T36.S12 centrado en pregunta, plazo, oriente, constar, multiple, ligado; conecta tambien suspension.","pregunta, plazo, oriente, constar, multiple, ligado, suspension",7,13,0.619,28.0
T36_S13,36,13,"Abajo, vivar, ningun, mantenido","Subtema T36.S13 centrado en abajo, vivar, ningun, mantenido, despedida, lanza; conecta tambien suelto, ordenamiento.","abajo, vivar, ningun, mantenido, despedida, lanza, suelto, ordenamiento",8,13,0.464,25.0
T36_S14,36,14,"Propiedad, reportero, cuadro, auge","Subtema T36.S14 centrado en propiedad, reportero, cuadro, auge, finales.","propiedad, reportero, cuadro, auge, finales",5,6,0.6,17.0
T36_S15,36,15,"Sabio, equivocar, enterar","Subtema T36.S15 centrado en sabio, equivocar, enterar.","sabio, equivocar, enterar",3,3,1.0,11.0
T37_S00,37,0,"Equipo, liga, enfrentar, diferencia","Subtema T37.S00 centrado en equipo, liga, enfrentar, diferencia, requerir, clausura; conecta tambien consecutivo, exitoso, protagonista, bicampeonato, mediocampista, ayudano.","equipo, liga, enfrentar, diferencia, requerir, clausura, consecutivo, exitoso, protagonista, bicampeonato, mediocampista, ayudano",13,53,0.679,494.0
T37_S01,37,1,"Futbol, mexicana, seleccion, pasion","Subtema T37.S01 centrado en futbol, mexicana, seleccion, pasion, transmision, adicional; conecta tambien autismo, natalia.","futbol, mexicana, seleccion, pasion, transmision, adicional, autismo, natalia",8,20,0.714,341.0
