usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@EstradaAgente,T10_P1,10,41,3,27.3,3,11,Twitter,T10,T02_S4
Twitter::@KenshiroHuey,T10_P1,10,42,3,37.5,3,8,Twitter,T10,T10_S5
Facebook::Sofia Leon,T10_P1,10,43,3,21.4,9,14,Facebook,T08,T08_S0
Facebook::Raquel Alvarez,T10_P1,10,44,3,50.0,2,6,Facebook,T10,T10_S0
Facebook::Erika Rubalcava,T10_P1,10,45,3,12.5,1,24,Facebook,T04,T04_S0
Facebook::Krmen Martinez,T10_P1,10,46,3,50.0,1,6,Facebook,T10,T08_S0
Twitter::@EdorvartRagde,T10_P1,10,47,3,33.3,1,9,Twitter,T10,T10_S2
YouTube::@ArturLasco,T10_P1,10,48,3,33.3,1,9,YouTube,T10,T10_S1
Twitter::@guiy3,T10_P1,10,49,3,37.5,1,8,Twitter,T10,T10_S1
Twitter::@rosana_guerra,T10_P1,10,50,3,25.0,3,12,Twitter,T10,T10_S1
YouTube::@OscarGutierrez-l5j,T10_P1,10,51,3,50.0,1,6,YouTube,T10,T10_S3
YouTube::@CristinaManterola,T10_P1,10,52,3,13.0,1,23,YouTube,T12,T10_S3
YouTube::@BlancaGuzman-v3i,T10_P1,10,53,3,16.7,1,18,YouTube,T12,T12_S4
YouTube::@BegonaCampero,T10_P1,10,54,3,42.9,1,7,YouTube,T10,T04_S1
YouTube::@conejozombiee,T10_P1,10,55,3,37.5,1,8,YouTube,T10,T09_S0
YouTube::@RafaelGil2022,T10_P1,10,56,3,23.1,1,13,YouTube,T10,T10_S1
YouTube::@TheEnriqueking,T10_P1,10,57,3,27.3,2,11,YouTube,T12,T12_S1
YouTube::@ajzambranomata4351,T10_P1,10,58,3,18.8,1,16,YouTube,T11,T11_S0
YouTube::@franciscojaviergutierrezgu7196,T10_P1,10,59,3,21.4,1,14,YouTube,T08,T08_S0
YouTube::@eduardoruizvillegas289,T10_P1,10,60,3,37.5,1,8,YouTube,T10,T10_S3
YouTube::@danielakedelrio1962,T10_P1,10,61,3,37.5,1,8,YouTube,T10,T10_S5
YouTube::@hugomacario4464,T10_P1,10,62,3,50.0,1,6,YouTube,T10,T04_S3
YouTube::@pumascampeon5758,T10_P1,10,63,3,30.0,1,10,YouTube,T12,T12_S0
YouTube::@josecalebnoticiasmundiales,T10_P1,10,64,3,17.6,1,17,YouTube,T12,T07_S4
YouTube::@jorgemeza218,T10_P1,10,65,3,15.0,1,20,YouTube,T04,T04_S0
YouTube::@rogatogt5,T10_P1,10,66,3,17.6,1,17,YouTube,T12,T12_S4
YouTube::@hectorjavierverasteguibara5181,T10_P2,10,1,12,19.4,1,62,YouTube,T10,T10_S4
Twitter::@MinskAnya,T10_P2,10,2,9,64.3,19,14,Twitter,T10,T10_S5
YouTube::@eduardoantonioballesterosc8476,T10_P2,10,3,9,19.1,1,47,YouTube,T11,T11_S1
YouTube::@albertovazquez750,T10_P2,10,4,8,66.7,3,12,YouTube,T10,T10_S1
YouTube::@joseluismaganapavon6138,T10_P2,10,5,8,44.4,1,18,YouTube,T10,T10_S4
YouTube::@juanmunguia7347,T10_P2,10,6,7,19.4,1,36,YouTube,T11,T10_S4
YouTube::@desilos2628,T10_P2,10,7,6,27.3,1,22,YouTube,T10,T10_S5
YouTube::@idayrperez4573,T10_P2,10,8,6,37.5,1,16,YouTube,T10,T11_S4
Twitter::@jlaram12,T10_P2,10,9,6,24.0,3,25,Twitter,T10,T13_S3
YouTube::@maik235,T10_P2,10,10,6,35.3,1,17,YouTube,T10,T10_S4
YouTube::@RaulHernandez_G,T10_P2,10,11,5,18.5,1,27,YouTube,T11,T11_S1
YouTube::@luzrazante,T10_P2,10,12,5,38.5,2,13,YouTube,T10,T10_S2
YouTube::@juanjor182,T10_P2,10,13,5,29.4,1,17,YouTube,T10,T10_S4
YouTube::@albertomeneses2756,T10_P2,10,14,5,35.7,3,14,YouTube,T10,T10_S4
YouTube::@MSFGpoRBdelBajío,T10_P2,10,15,5,25.0,1,20,YouTube,T10,T05_S2
