palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
ruta,4,0,broker,0.75,-0.4878,16
liderazgo,4,1,broker,0.7847,-1.0609,24
cabo,4,3,broker,0.8158,0.5277,47
domingo,4,0,broker,0.72,-0.2726,20
resultado,4,1,broker,0.7732,0.1179,33
representar,4,1,broker,0.7348,0.1179,29
querétaro,4,-1,periferico,0.0,-0.9503,2
junio,4,2,broker,0.8318,-0.3513,36
josé,4,3,broker,0.8099,-0.1218,22
autoridad,4,3,broker,0.7967,0.8524,29
cultura,4,1,broker,0.8064,-0.8645,25
visitante,4,0,broker,0.7982,-0.2726,21
especial,4,2,broker,0.7259,0.1069,23
emoción,4,2,broker,0.8,-0.8096,20
mañana,4,0,broker,0.7143,-0.4878,14
puente,4,-1,periferico,0.4444,-0.9503,3
proyecto,4,1,broker,0.72,-0.2751,25
formar,4,2,broker,0.8158,-0.5804,31
identidad,4,2,broker,0.7424,-0.1222,25
hospital,4,-1,broker,0.5,-0.197,6
general,4,0,broker,0.7922,-0.2726,19
agradecer,4,1,broker,0.7929,-0.668,27
histórico,4,1,broker,0.7701,-1.2574,19
encuentro,4,2,broker,0.6304,0.5652,25
recordar,4,5,broker,0.8086,0.0,18
promover,4,1,broker,0.6468,0.7073,29
veracruz,4,0,broker,0.68,-0.4878,10
reflejar,4,1,broker,0.7586,-0.2751,29
recorrer,4,2,broker,0.6446,-1.0387,11
guerrero,4,0,broker,0.6358,0.5882,18
simulacro,4,0,broker,0.72,-0.0574,15
apoyar,4,2,broker,0.7087,0.5652,29
obra,4,4,broker,0.8017,0.1846,22
clave,4,2,broker,0.8163,-1.2678,14
consolidar,4,-1,broker,0.6735,-0.9503,14
tampiqueña,4,1,broker,0.7882,-1.2574,24
fuerte,4,0,broker,0.6777,-0.4878,11
parque,4,2,broker,0.7701,-0.8096,19
emergencia,4,3,broker,0.7107,-0.1218,11
grande,4,2,broker,0.8009,-0.3513,36
puerto,4,0,periferico,0.449,-0.4878,7
generación,4,1,broker,0.71,-0.668,20
listo,4,-1,broker,0.56,-0.9503,5
colaboración,4,-1,broker,0.7531,1.3095,18
presentar,4,2,broker,0.7788,-0.3513,23
libertad,4,2,broker,0.6528,-0.8096,12
experiencia,4,2,broker,0.7889,0.1069,30
infraestructura,4,4,broker,0.7535,0.5906,19
disciplina,4,1,broker,0.735,-0.668,20
río,4,0,broker,0.6667,-0.2726,12
visitar,4,4,broker,0.7041,-0.2215,14
llenar,4,1,broker,0.775,-1.6503,20
exposición,4,2,broker,0.7701,-1.0387,19
martes,4,-1,broker,0.5938,-0.9503,8
marca,4,-1,broker,0.5,-0.9503,6
campeón,4,-1,broker,0.6562,-0.197,8
copa,4,2,broker,0.782,-1.726,17
ipn,4,5,broker,0.7083,0.0,12
principal,4,4,broker,0.6667,-1.0335,6
huasteco,4,-1,broker,0.6391,-0.197,13
impacto,4,-1,broker,0.5938,-0.197,8
reunión,4,-1,broker,0.655,-0.197,20
herramienta,4,-1,broker,0.5799,0.5563,13
reunir,4,-1,broker,0.6391,-0.197,13
gestión,4,4,broker,0.8089,-0.6275,15
brava,4,-1,broker,0.625,-0.197,4
jaiba,4,-1,broker,0.7083,2.0628,12
empresarial,4,-1,broker,0.625,-0.9503,4
privado,4,-1,broker,0.7812,0.5563,8
juventud,4,-1,broker,0.6272,0.5563,13
comenzar,4,-1,broker,0.7639,-0.197,12
proceso,4,0,broker,0.7811,-0.9181,13
arte,4,2,broker,0.7713,-0.1222,23
fiesta,4,-1,broker,0.8056,-0.197,12
club,4,-1,broker,0.75,1.3095,8
cantidad,4,4,periferico,0.4444,-1.4395,3
unir,4,-1,broker,0.8,1.3095,15
futbol,4,-1,broker,0.7531,2.0628,18
texas,4,-1,periferico,0.4444,-0.9503,3
conocimiento,4,-1,broker,0.625,0.5563,16
logro,4,-1,broker,0.5781,-0.197,16
atleta,4,-1,periferico,0.4852,-0.9503,13
música,4,2,broker,0.784,0.1069,26
alianza,4,-1,periferico,0.375,-0.9503,4
edición,4,2,broker,0.7812,-1.0387,16
señalar,4,-1,periferico,0.4444,-0.9503,3
legado,4,-1,broker,0.7438,-0.197,11
agenda,4,-1,broker,0.6562,-0.9503,8
crecimiento,4,-1,broker,0.5799,-0.197,13
conectar,4,-1,periferico,0.4861,-0.197,12
rosa,4,-1,broker,0.8265,1.3095,14
innovación,4,-1,broker,0.642,-0.197,9
sostenible,4,-1,broker,0.6562,0.5563,8
atraer,4,-1,broker,0.5,-0.9503,6
convenio,4,-1,broker,0.6111,1.3095,6
inolvidable,4,-1,broker,0.6939,2.0628,14
enhorabuena,4,3,broker,0.8,-1.4206,5
política,4,-1,broker,0.66,-0.9503,10
mesa,4,3,broker,0.7654,-1.0959,9
sociedad,4,-1,broker,0.7438,-0.197,11
recreativa,4,-1,broker,0.5,-0.9503,6
digital,4,-1,broker,0.6667,2.0628,9
inaugurar,4,-1,broker,0.7755,1.3095,14
reúnir,4,-1,broker,0.6111,0.5563,6
futbolero,4,-1,broker,0.6327,0.5563,14
increíble,4,-1,broker,0.6111,-0.9503,6
ángel,4,-1,periferico,0.4444,-0.9503,3
homenaje,4,-1,broker,0.74,2.0628,10
frontera,4,-1,broker,0.6667,-0.9503,3
comercio,4,-1,periferico,0.4444,-0.9503,3
tamaulipeca,4,-1,periferico,0.4444,-0.9503,3
memoria,4,-1,broker,0.7222,-0.197,6
trofeo,4,-1,broker,0.6667,1.3095,9
querido,4,-1,broker,0.625,-0.197,4
dialogar,4,-1,broker,0.58,-0.9503,10
fecha,4,5,broker,0.7654,-0.8257,9
felicitación,4,5,broker,0.75,-1.2386,4
recuerdo,4,-1,broker,0.642,2.0628,9
mirar,4,-1,periferico,0.0,-0.9503,1
representante,4,-1,broker,0.8333,-0.9503,6
lider,4,5,broker,0.625,-1.2386,4
voluntario,4,3,broker,0.625,-1.0959,4
firmar,4,-1,periferico,0.4444,0.5563,3
capital,4,-1,periferico,0.0,-0.9503,2
obtenido,4,-1,broker,0.7654,1.3095,9
competitivo,4,5,broker,0.5,-1.6514,2
muestra,4,-1,broker,0.8,-0.197,5
salón,4,-1,broker,0.6122,-0.9503,7
lástima,4,5,periferico,0.0,-1.2386,1
mónica,0,0,broker,0.8527,2.0934,79
villarreal,0,0,conector_provincial,0.8546,2.5067,101
presidenta,0,0,broker,0.82,2.3001,70
alcaldesa,0,0,broker,0.7653,0.2336,28
américo,0,0,broker,0.7968,0.2336,25
gobierno,0,1,broker,0.8326,2.2719,61
gracias,0,3,conector_provincial,0.8091,2.9441,64
gobernador,0,0,broker,0.7149,0.4402,22
monica,0,0,broker,0.6844,0.027,15
apoyo,0,1,broker,0.7713,1.7178,33
municipio,0,0,broker,0.7708,0.2336,24
nacional,0,1,broker,0.7875,1.9949,40
palacio,0,1,broker,0.7188,-1.0529,8
lic,0,0,broker,0.6122,0.027,14
gómez,0,2,broker,0.5,-0.9409,2
junco,0,2,periferico,0.4444,-0.5488,3
mujer,0,4,broker,0.7886,2.0488,35
niño,0,3,conector_provincial,0.7114,2.9441,36
joven,0,3,broker,0.768,0.9457,31
viva,0,4,broker,0.6777,-0.5392,11
leer,0,1,broker,0.5926,-0.4987,9
persona,0,2,conector_provincial,0.8138,3.7635,45
saludo,0,3,broker,0.7543,0.1963,17
evento,0,3,broker,0.759,-0.3033,19
año,0,4,broker,0.809,2.0488,41
villareal,0,0,periferico,0.0,-0.1797,6
escuela,0,3,broker,0.6235,0.9457,18
primaria,0,3,broker,0.595,0.1963,11
beneficio,0,1,broker,0.7101,-0.2217,13
santiago,0,0,broker,0.6531,-0.7996,7
